No;ER;CPI;PPI;covid
1985-01;-7.698074371;-4.895303691;3.514586684;0
1985-02;-7.634862634;-4.862836423;3.393817543;0
1985-03;-7.618903511;-4.816122379;3.492322314;0
1985-04;-7.576648968;-4.80784226;3.452125514;0
1985-05;-7.545791362;-4.784119856;3.548855141;0
1985-06;-7.531908255;-4.791754402;3.275257808;0
1985-07;-7.538632134;-4.777609567;3.440337559;0
1985-08;-7.531553651;-4.752069196;3.412279606;0
1985-09;-7.514834861;-4.70567517;3.465704773;0
1985-10;-7.502787127;-4.644934141;3.627259847;0
1985-11;-7.491151596;-4.599578784;3.662690284;0
1985-12;-7.457919623;-4.583562827;3.598995288;0
1986-01;-7.440724267;-4.552068382;3.49793505;0
1986-02;-7.42374421;-4.534835539;3.386017134;0
1986-03;-7.315971668;-4.521879568;3.515428208;0
1986-04;-7.326054898;-4.518100655;3.455886814;0
1986-05;-7.286339926;-4.499282735;3.49793505;0
1986-06;-7.290326953;-4.475672281;3.474124402;0
1986-07;-7.293594246;-4.457113147;3.543920164;0
1986-08;-7.288554604;-4.448440516;3.521191913;0
1986-09;-7.266045813;-4.425674929;3.59324523;0
1986-10;-7.212197013;-4.354841233;3.704470865;0
1986-11;-7.199358362;-4.33232209;3.670404311;0
1986-12;-7.185104256;-4.316053325;3.66045398;0
1987-01;-7.18808445;-4.287060583;3.582492438;0
1987-02;-7.174054274;-4.260421118;3.538286346;0
1987-03;-7.158861158;-4.223737445;3.587883287;0
1987-04;-7.134480236;-4.203006486;3.571622766;0
1987-05;-7.104926549;-4.15484354;3.5661433;0
1987-06;-7.067425329;-4.155893118;3.665441521;0
1987-07;-7.035537515;-4.136930654;3.577072371;0
1987-08;-7.016415678;-4.119931465;3.587883287;0
1987-09;-6.976323241;-4.091107095;3.694855407;0
1987-10;-6.962412118;-4.04421289;3.795858617;0
1987-11;-6.937987708;-3.983623474;3.795858617;0
1987-12;-6.887070688;-3.87746751;3.787086631;0
1988-01;-6.794024889;-3.819345722;3.704470865;0
1988-02;-6.742757923;-3.782670385;3.685146593;0
1988-03;-6.705835364;-3.728748988;3.713994747;0
1988-04;-6.669155788;-3.668278763;3.66045398;0
1988-05;-6.627551096;-3.634274285;3.624826802;0
1988-06;-6.57894086;-3.625358898;3.650403644;0
1988-07;-6.540061269;-3.609508928;3.603883628;0
1988-08;-6.479387778;-3.58591054;3.675342592;0
1988-09;-6.406580071;-3.528436186;3.685146593;0
1988-10;-6.386999127;-3.474086366;3.773782665;0
1988-11;-6.332131168;-3.422055848;3.728112628;0
1988-12;-6.311757969;-3.397728461;3.75576416;0
1989-01;-6.274846545;-3.333838063;3.640251273;0
1989-02;-6.250463281;-3.287197427;3.635136172;0
1989-03;-6.200966569;-3.257270019;3.728112628;0
1989-04;-6.176869252;-3.196886332;3.609160686;0
1989-05;-6.167390599;-3.166885975;3.640251273;0
1989-06;-6.146846651;-3.146152178;3.723428779;0
1989-07;-6.140967378;-3.116191505;3.645340342;0
1989-08;-6.112597688;-3.081590748;3.728112628;0
1989-09;-6.101833138;-3.026782474;3.795858617;0
1989-10;-6.075411533;-2.966827719;3.813175067;0
1989-11;-6.071508255;-2.92425533;3.817457729;0
1989-12;-6.068911626;-2.901332414;3.791482242;0
1990-01;-6.053488898;-2.863613032;3.742033967;0
1990-02;-6.027883748;-2.82036308;3.718722888;0
1990-03;-5.996875158;-2.769811417;3.855198057;0
1990-04;-5.982722867;-2.705524526;3.690012782;0
1990-05;-5.954781667;-2.675324481;3.782671613;0
1990-06;-5.930429657;-2.660334445;3.795858617;0
1990-07;-5.924804528;-2.669620213;3.66045398;0
1990-08;-5.917355718;-2.644455844;3.769308385;0
1990-09;-5.901163254;-2.561056719;3.895526102;0
1990-10;-5.885944844;-2.494911464;3.96793868;0
1990-11;-5.873080803;-2.446067175;3.949385272;0
1990-12;-5.832728965;-2.428750345;3.867468149;0
1991-01;-5.794270798;-2.381255284;3.665441521;0
1991-02;-5.70368148;-2.328445764;3.751208343;0
1991-03;-5.598263672;-2.285697111;3.883597531;0
1991-04;-5.532259008;-2.222195602;3.713994747;0
1991-05;-5.507819388;-2.189429589;3.907314058;0
1991-06;-5.441112103;-2.160297098;3.704470865;0
1991-07;-5.426241651;-2.147257176;3.838600165;0
1991-08;-5.382481891;-2.108218009;3.838600165;0
1991-09;-5.355253923;-2.049128964;3.911212698;0
1991-10;-5.31260495;-1.985271433;3.97526472;0
1991-11;-5.284822829;-1.934149975;3.956847993;0
1991-12;-5.282459766;-1.891454078;3.911212698;0
1992-01;-5.204552016;-1.801860085;3.855198057;0
1992-02;-5.13736927;-1.752737875;3.808873985;0
1992-03;-5.07553388;-1.705221859;3.87556536;0
1992-04;-5.020625026;-1.668352517;3.773782665;0
1992-05;-4.98684504;-1.659612821;3.891565701;0
1992-06;-4.979846181;-1.654735528;3.787086631;0
1992-07;-4.952470637;-1.641627038;3.883597531;0
1992-08;-4.953602055;-1.604164008;3.842775537;0
1992-09;-4.916507176;-1.532326627;3.971608409;0
1992-10;-4.847732313;-1.459454697;4.018128424;0
1992-11;-4.792741499;-1.411831349;3.97526472;0
1992-12;-4.760137699;-1.384838023;3.949385272;0
1993-01;-4.730374063;-1.333302488;3.887589553;0
1993-02;-4.689117172;-1.294307062;3.85107434;0
1993-03;-4.660626872;-1.247732202;3.842775537;0
1993-04;-4.639830991;-1.204806672;3.915096198;0
1993-05;-4.59187348;-1.158664387;3.922818244;0
1993-06;-4.521645547;-1.140501627;3.863394824;0
1993-07;-4.461637102;-1.09283679;3.96793868;0
1993-08;-4.45604095;-1.066481749;3.87152495;0
1993-09;-4.415046644;-1.012074679;4.028563301;0
1993-10;-4.344344797;-0.945432243;4.055868752;0
1993-11;-4.287644158;-0.883450552;4.025097094;0
1993-12;-4.2355036;-0.847900377;4.08244839;0
1994-01;-4.061639646;-0.804755123;3.96793868;0
1994-02;-4.002018284;-0.741671242;3.813175067;0
1994-03;-3.80947454;-0.685079031;3.863394824;0
1994-04;-3.377846938;-0.474949472;3.804554324;0
1994-05;-3.449478061;-0.395679345;3.742033967;0
1994-06;-3.467504506;-0.376300937;3.773782665;0
1994-07;-3.472223462;-0.345467958;3.791482242;0
1994-08;-3.411732987;-0.317460391;3.867468149;0
1994-09;-3.379252932;-0.257395742;3.953123594;0
1994-10;-3.328160697;-0.1872674;3.993348395;0
1994-11;-3.314299761;-0.125659828;3.996926217;0
1994-12;-3.25124407;-0.058030596;3.960558572;0
1995-01;-3.20809663;0.010129576;3.887589553;0
1995-02;-3.1851147;0.057709271;3.791482242;0
1995-03;-3.174117588;0.101876426;3.842775537;0
1995-04;-3.161220312;0.158478266;3.934290646;0
1995-05;-3.153673462;0.191077024;3.87152495;0
1995-06;-3.125544875;0.216523932;3.989757727;0
1995-07;-3.101248357;0.246770738;3.971608409;0
1995-08;-3.037325399;0.289194941;3.993348395;0
1995-09;-3.015812539;0.363229091;4.011110852;0
1995-10;-2.973716411;0.424477174;4.014625794;0
1995-11;-2.907739711;0.47056436;4.098708911;0
1995-12;-2.81926113;0.507550423;4.105139801;0
1996-01;-2.770031993;0.587336265;4.000491283;0
1996-02;-2.718835656;0.631436049;3.808873985;0
1996-03;-2.648581541;0.685969013;3.964255434;0
1996-04;-2.5980104;0.750856716;3.918964675;0
1996-05;-2.548165989;0.79502386;4.014625794;0
1996-06;-2.507336325;0.820067714;4.007583511;0
1996-07;-2.488878527;0.841216546;4.021618829;0
1996-08;-2.453204515;0.891642356;4.004043684;0
1996-09;-2.390788089;0.947204574;4.032017536;0
1996-10;-2.344736095;1.009993832;4.158194364;0
1996-11;-2.286957837;1.060466006;4.155150222;0
1996-12;-2.227709558;1.09399139;4.105139801;0
1997-01;-2.157532821;1.151072484;3.996926217;0
1997-02;-2.105498084;1.20610875;3.89947088;0
1997-03;-2.060776816;1.258667189;4.105139801;0
1997-04;-2.002813889;1.322738018;4.000491283;0
1997-05;-1.965720076;1.368586081;4.136688159;0
1997-06;-1.910238997;1.396938325;4.117878827;0
1997-07;-1.838568098;1.457653694;4.130457609;0
1997-08;-1.796912724;1.517784592;4.127327716;0
1997-09;-1.750828681;1.588336453;4.208575388;0
1997-10;-1.711055442;1.668324702;4.217208536;0
1997-11;-1.640490079;1.732503434;4.170279103;0
1997-12;-1.581798427;1.782600501;4.185182509;0
1998-01;-1.538490286;1.852300556;4.021618829;0
1998-02;-1.473814959;1.895513314;4.052496068;0
1998-03;-1.417929517;1.937633681;4.170279103;0
1998-04;-1.390222064;1.98321874;4.021618829;0
1998-05;-1.360412212;2.017638439;4.179247773;0
1998-06;-1.326065112;2.041685395;4.139788937;0
1998-07;-1.309666709;2.074704302;4.149033995;0
1998-08;-1.284875604;2.113476656;4.133577737;0
1998-09;-1.284189138;2.178496485;4.208575388;0
1998-10;-1.252567988;2.237254031;4.185182509;0
1998-11;-1.193725488;2.279286058;4.136688159;0
1998-12;-1.156885677;2.311615385;4.079164315;0
1999-01;-1.104420122;2.358526118;3.934290646;0
1999-02;-1.04537773;2.389764571;3.993348395;0
1999-03;-0.99894163;2.429505626;4.055868752;0
1999-04;-0.943376769;2.477030045;4.072563631;0
1999-05;-0.902343449;2.506014058;4.139788937;0
1999-06;-0.866667581;2.538024489;4.152096784;0
1999-07;-0.851062605;2.575501029;4.133577737;0
1999-08;-0.81188342;2.616700851;4.025097094;0
1999-09;-0.777622866;2.674837681;4.136688159;0
1999-10;-0.737161766;2.736181788;4.111529599;0
1999-11;-0.663761209;2.777341633;4.136688159;0
1999-12;-0.613596902;2.835113082;4.130457609;0
2000-01;-0.581199806;2.882533759;3.964255434;0
2000-02;-0.556108944;2.918899957;4.055868752;0
2000-03;-0.528517879;2.947681298;4.055868752;0
2000-04;-0.493028274;2.970657623;4.117878827;0
2000-05;-0.484144745;2.992596195;4.185182509;0
2000-06;-0.478700538;2.999354349;4.194019091;0
2000-07;-0.450913413;3.021557898;4.176267145;0
2000-08;-0.423083403;3.043047669;4.199867061;0
2000-09;-0.404229372;3.073334095;4.214339093;0
2000-10;-0.379312099;3.103851173;4.231433527;0
2000-11;-0.380168775;3.140297683;4.237067344;0
2000-12;-0.395438048;3.164658742;4.079164315;0
2001-01;-0.38851655;3.189412146;4.04911197;0
2001-02;-0.080235476;3.207246583;4.014625794;0
2001-03;0.022760015;3.26619106;3.98615412;0
2001-04;0.131411522;3.364538631;4.000491283;0
2001-05;0.18983989;3.413840217;4.072563631;0
2001-06;0.227768042;3.444692035;4.072563631;0
2001-07;0.282392357;3.468351593;4.065919088;0
2001-08;0.308592909;3.497317466;4.092236396;0
2001-09;0.439756384;3.55453431;4.121038387;0
2001-10;0.464508559;3.613487478;4.088984361;0
2001-11;0.390367714;3.654878257;4.08244839;0
2001-12;0.371651139;3.686612453;4.000491283;0
2002-01;0.268872272;3.738440595;4.021618829;0
2002-02;0.335324435;3.755822899;3.960558572;0
2002-03;0.293430518;3.76765152;4.155150222;0
2002-04;0.289003199;3.787997093;4.145961796;0
2002-05;0.365668976;3.793772848;4.185182509;0
2002-06;0.452938215;3.799592966;4.149033995;0
2002-07;0.522313188;3.813905008;4.182219544;0
2002-08;0.485665957;3.835512719;4.158194364;0
2002-09;0.503460165;3.869695183;4.222922837;0
2002-10;0.51073822;3.902033704;4.214339093;0
2002-11;0.431160145;3.930735837;4.176267145;0
2002-12;0.49694919;3.947042404;4.139788937;0
2003-01;0.494375459;3.972594869;4.176267145;0
2003-02;0.465248592;3.987883125;4.000491283;0
2003-03;0.533079949;4.007333185;4.222922837;0
2003-04;0.451749278;4.017170494;4.167271582;0
2003-05;0.363338791;4.026712072;4.214339093;0
2003-06;0.344328439;4.027511432;4.234254403;0
2003-07;0.347286056;4.025611907;4.278338676;0
2003-08;0.333717732;4.027211747;4.248240645;0
2003-09;0.327659591;4.040609457;4.328283353;0
2003-10;0.393714675;4.049833347;4.315379948;0
2003-11;0.37761041;4.062451198;4.194019091;0
2003-12;0.33406792;4.066686046;4.323141953;0
2004-01;0.292837883;4.073291153;4.22860467;0
2004-02;0.281029745;4.078430106;4.136688159;0
2004-03;0.272602825;4.087971532;4.341022378;0
2004-04;0.351161674;4.092942234;4.312779166;0
2004-05;0.402537493;4.09723649;4.370949799;0
2004-06;0.398437136;4.095931494;4.383159963;0
2004-07;0.382661061;4.100677234;4.392821874;0
2004-08;0.409287128;4.108260734;4.328283353;0
2004-09;0.406104903;4.11770558;4.380729828;0
2004-10;0.387774888;4.139908658;4.323141953;0
2004-11;0.357291154;4.152944803;4.278338676;0
2004-12;0.29229641;4.156111589;4.363551491;0
2005-01;0.28720696;4.161629449;4.275639619;0
2005-02;0.248109297;4.161804121;4.302307866;0
2005-03;0.299697102;4.164420554;4.437482644;0
2005-04;0.327683731;4.171537404;4.402391325;0
2005-05;0.306197106;4.180662812;4.444355524;0
2005-06;0.290353501;4.181690649;4.475818793;0
2005-07;0.280959527;4.175938326;4.453446495;0
2005-08;0.300511917;4.184426395;4.451181489;0
2005-09;0.29672853;4.194619297;4.540080727;0
2005-10;0.296356838;4.212376695;4.562645787;0
2005-11;0.302509107;4.226309894;4.473603953;0
2005-12;0.296431187;4.230476737;4.576744712;0
2006-01;0.279977468;4.237949763;4.286392411;0
2006-02;0.269378072;4.240132376;4.388002587;0
2006-03;0.296356838;4.242874092;4.554499103;0
2006-04;0.276608486;4.256153225;4.499863667;0
2006-05;0.447086783;4.27473351;4.562645787;0
2006-06;0.453302438;4.278082032;4.578742714;0
2006-07;0.395179054;4.286520247;4.542153267;0
2006-08;0.372459706;4.282116485;4.514869308;0
2006-09;0.405931666;4.294887855;4.584712881;0
2006-10;0.376722639;4.307498171;4.521232002;0
2006-11;0.371080681;4.320324148;4.608243379;0
2006-12;0.342880233;4.322631813;4.600461238;0
2007-01;0.348471387;4.332619688;4.462455565;0
2007-02;0.348118441;4.336880328;4.473603953;0
2007-03;0.324580379;4.346001483;4.614040497;0
2007-04;0.310421559;4.357987186;4.558580741;0
2007-05;0.27748021;4.362998651;4.63501362;0
2007-06;0.268308103;4.360567648;4.623628298;0
2007-07;0.245022453;4.353238976;4.602412459;0
2007-08;0.25812452;4.353455293;4.592618061;0
2007-09;0.188717724;4.363712529;4.627437826;0
2007-10;0.160799953;4.381676237;4.619804201;0
2007-11;0.160714803;4.400974351;4.686495576;0
2007-12;0.157687276;4.403172003;4.584712881;0
2008-01;0.157687276;4.411166306;4.56871254;0
2008-02;0.176848272;4.424013869;4.56061533;0
2008-03;0.269683567;4.433575642;4.648134708;0
2008-04;0.253090628;4.450206395;4.631232897;0
2008-05;0.190289726;4.465018594;4.664755589;0
2008-06;0.200120544;4.461400785;4.648134708;0
2008-07;0.147730112;4.467144404;4.64440336;0
2008-08;0.163351083;4.464696107;4.556542004;0
2008-09;0.210706531;4.469201489;4.586695043;0
2008-10;0.447278611;4.494877247;4.554499103;0
2008-11;0.448620378;4.503167256;4.550400736;0
2008-12;0.422289448;4.499062007;4.392821874;0
2009-01;0.493750673;4.50192502;4.325715957;0
2009-02;0.525586149;4.498500892;4.286392411;0
2009-03;0.514140125;4.509478768;4.407141927;0
2009-04;0.458942682;4.509663799;4.423593532;0
2009-05;0.430612902;4.516057132;4.475818793;0
2009-06;0.424221437;4.517159533;4.542153267;0
2009-07;0.387063499;4.51966603;4.552452019;0
2009-08;0.404798219;4.516669727;4.491186823;0
2009-09;0.39241364;4.520581473;4.484629423;0
2009-10;0.396222527;4.544391404;4.614040497;0
2009-11;0.396155239;4.556999225;4.519115599;0
2009-12;0.399379964;4.562279068;4.608243379;0
2010-01;0.396558899;4.580599483;4.407141927;0
2010-02;0.431652538;4.594972627;4.41657596;0
2010-03;0.418282612;4.600788403;4.586695043;0
2010-04;0.390317629;4.606738462;4.556542004;0
2010-05;0.451266684;4.60315021;4.600461238;0
2010-06;0.455841315;4.597517662;4.64440336;0
2010-07;0.410883734;4.592704924;4.651852184;0
2010-08;0.421699285;4.596726567;4.614040497;0
2010-09;0.369423337;4.608918757;4.580736733;0
2010-10;0.360153885;4.627069883;4.71302233;0
2010-11;0.40726349;4.627344043;4.614040497;0
2010-12;0.432626216;4.624324137;4.809442476;0
2011-01;0.471876874;4.628439934;4.623628298;0
2011-02;0.467938999;4.635697216;4.592618061;0
2011-03;0.431782416;4.639874853;4.735456403;0
2011-04;0.417261918;4.648500243;4.697190865;0
2011-05;0.463545319;4.672420134;4.74225915;0
2011-06;0.482179205;4.65800937;4.783758881;0
2011-07;0.517244976;4.653906964;4.770665404;0
2011-08;0.55938719;4.661141423;4.733748461;0
2011-09;0.618261983;4.66863961;4.759066269;0
2011-10;0.559615788;4.700837008;4.863426284;0
2011-11;0.612668961;4.717958206;4.749015933;0
2011-12;0.638400562;4.723700327;4.888631473;0
2012-01;0.569990357;4.729310648;4.682904908;0
2012-02;0.554861648;4.734938903;4.66108586;0
2012-03;0.575039092;4.739065862;4.793467695;0
2012-04;0.561385649;4.754102276;4.750698019;0
2012-05;0.612397973;4.751974924;4.829835339;0
2012-06;0.593796348;4.742980527;4.822041068;0
2012-07;0.582606605;4.740682519;4.812607036;0
2012-08;0.596333371;4.746247309;4.702495917;0
2012-09;0.581656805;4.75651424;4.832936117;0
2012-10;0.581992131;4.775934179;4.80626787;0
2012-11;0.577567965;4.779707413;4.881283901;0
2012-12;0.577680211;4.783513361;4.884229412;0
2013-01;0.564773891;4.799840444;4.725164717;0
2013-02;0.591446626;4.802834941;4.709525823;0
2013-03;0.596278287;4.809437139;4.818906269;0
2013-04;0.586062958;4.813632502;4.832936117;0
2013-05;0.624761268;4.815087643;4.88569892;0
2013-06;0.656949892;4.822692587;4.878329689;0
2013-07;0.655367429;4.825799368;4.906048459;0
2013-08;0.721515955;4.824764847;4.716506654;0
2013-09;0.710987099;4.832386151;4.933019576;0
2013-10;0.688410982;4.850224402;4.840646256;0
2013-11;0.702726155;4.850312141;4.974177648;0
2013-12;0.75902855;4.854907637;4.979539591;0
2014-01;0.824876951;4.874495334;4.83756933;0
2014-02;0.804777997;4.878768115;4.788625071;0
2014-03;0.784723124;4.889961312;4.907486274;0
2014-04;0.751368918;4.903321369;4.897377884;0
2014-05;0.738837306;4.907265819;4.911787356;0
2014-06;0.753912969;4.910368906;4.927401583;0
2014-07;0.738956717;4.914902753;4.872394954;0
2014-08;0.770270246;4.915848146;4.858911604;0
2014-09;0.824592023;4.917244049;4.994138391;0
2014-10;0.797101708;4.936061536;4.891555452;0
2014-11;0.793964893;4.937871709;4.971485857;0
2014-12;0.841976585;4.933441042;5.052978891;0
2015-01;0.883664229;4.944401266;4.828281338;0
2015-02;0.920282753;4.951522981;4.798286982;0
2015-03;0.960326756;4.963307065;4.967434534;0
2015-04;0.980879252;4.979474686;4.963366732;0
2015-05;0.978739571;4.985087495;4.959282315;0
2015-06;0.989057805;4.979937203;5.014999643;0
2015-07;1.021371208;4.980823097;4.920334416;0
2015-08;1.070641392;4.984819106;4.986201841;0
2015-09;1.113845669;4.993714162;4.941387825;0
2015-10;1.070744223;5.009139408;5.054220356;0
2015-11;1.072319647;5.015778993;5.042991292;0
2015-12;1.068221807;5.017858768;5.12717559;0
2016-01;1.086387874;5.035874624;4.879807886;0
2016-02;1.075650677;5.035655973;4.927401583;0
2016-03;1.042376978;5.035254989;5.032902934;0
2016-04;1.031011305;5.043063414;4.998083169;0
2016-05;1.084733083;5.048835019;5.039220075;0
2016-06;1.063399533;5.053535844;5.041735799;0
2016-07;1.103682745;5.065103662;4.829835339;0
2016-08;1.08419215;5.062197611;5.023991354;0
2016-09;1.098145513;5.064006026;4.903166613;0
2016-10;1.13224047;5.078286958;5.093154714;0
2016-11;1.23051736;5.083442506;5.099103571;0
2016-12;1.25912838;5.099743375;5.132926037;0
2017-01;1.344391053;5.124057398;4.941387825;0
2017-02;1.278542099;5.132131739;4.933019576;0
